Trans. Date,Post Date,Description,Amount,Category
2/15/2021,2/15/2021,AMAZON.COM*3B8R42O23 AMZN.COM/BILLWA6HVOHA076C7,6.24,Merchandise
2/19/2021,2/19/2021,AMAZON.COM*K35VJ02N3 AMZN.COM/BILLWA6KW1HBX53Y0,27.04,Merchandise
2/20/2021,2/20/2021,ALDI 60169 PHILADELPHIA PA,27.7,Supermarkets
2/21/2021,2/21/2021,THE CLIFFS AT CALLOWHI PHILADELPHIA PA,9,Travel/ Entertainment
2/23/2021,2/23/2021,INTERNET PAYMENT - THANK YOU,-109.14,Payments and Credits
2/26/2021,2/26/2021,TRADER JOE'S #618 QPS PHILADELPHIA PA,30.37,Supermarkets
2/27/2021,2/27/2021,ALDI 60169 PHILADELPHIA PA,21.26,Supermarkets
2/28/2021,2/28/2021,ALDI 60169 PHILADELPHIA PA,6.6,Supermarkets
2/28/2021,2/28/2021,SEPTA CALL CENTER-CARD 215-561-8231 PA,20,Travel/ Entertainment
3/2/2021,3/2/2021,INSTITUTE OF INDUSTRIAL 770-449-0461 GA,44,Services
3/2/2021,3/2/2021,SPOTIFY 877-778-1161 NY,5.29,Services
3/5/2021,3/5/2021,AMAZON.COM*3F7SK6433 AMZN.COM/BILLWA6IVAY45HD9A,13.94,Merchandise
3/5/2021,3/5/2021,TRADER JOE'S #618 QPS PHILADELPHIA PA,5.78,Supermarkets
3/6/2021,3/6/2021,ALDI 60169 PHILADELPHIA PA,30.82,Supermarkets
3/12/2021,3/12/2021,CVS/PHARMACY #11371 PHILADELPHIA PA,3.29,Merchandise
3/12/2021,3/12/2021,FRESHGROCERPROGPLAZAS1 PHILADELPHIA PA001559265272,3.96,Supermarkets
3/12/2021,3/12/2021,INTERNET PAYMENT - THANK YOU,-187.06,Payments and Credits
3/13/2021,3/13/2021,ALDI 60169 PHILADELPHIA PA,39.99,Supermarkets
3/13/2021,3/13/2021,CAFE NHAN PHILADELPHIA PA,23.25,Restaurants
3/13/2021,3/13/2021,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,9.53,Services
3/14/2021,3/14/2021,FRESHGROCERPROGPLAZAS1 PHILADELPHIA PA001560810276,8.57,Supermarkets
3/14/2021,3/14/2021,LEVELUPSAXBYS50356506 855-538-3542 MA,4.45,Restaurants
3/17/2021,3/17/2021,AMZN MKTP US*VZ6T94NG3 AMZN.COM/BILLWA34QKNW9QF72,7.9,Merchandise
3/19/2021,3/19/2021,CITY PLANTER 2156276169 CA,28.08,Home Improvement
3/20/2021,3/20/2021,1 SHOT COFFEE LLC PHILADELPHIA PA,5.59,Restaurants
3/20/2021,3/20/2021,ALDI 60169 PHILADELPHIA PA,42.77,Supermarkets
3/27/2021,3/27/2021,ALDI 60169 PHILADELPHIA PA,21,Supermarkets
3/28/2021,3/28/2021,AMZN MKTP US*8888A4803 AMZN.COM/BILLWA27QRAZIEHVG,5.29,Merchandise
3/28/2021,3/28/2021,AMZN MKTP US*DM22M20Y3 AMZN.COM/BILLWA4QLQVRVZS7W,9.53,Merchandise
3/28/2021,3/28/2021,SPOTIFY 877-778-1161 NY,5.29,Services
3/29/2021,3/29/2021,ETSY.COM BROOKLYN NY,8.49,Merchandise
3/29/2021,3/29/2021,ETSY.COM BROOKLYN NY,11.29,Merchandise
3/29/2021,3/29/2021,ETSY.COM BROOKLYN NY,19.21,Merchandise
4/3/2021,4/3/2021,MICHAELS STORES 9902 YORK PA9902000124732104031253,5.46,Merchandise
4/3/2021,4/3/2021,TARGET YORK PA,24.76,Supermarkets
4/4/2021,4/4/2021,LIDL #1081 YORK PA1081830448170942113031,29.94,Supermarkets
4/7/2021,4/7/2021,AMZN MKTP US*V677C2EB3 AMZN.COM/BILLWAN5K43WL4F0H,19.07,Merchandise
4/8/2021,4/8/2021,TARGET.COM * 800-591-3869 MN,8.55,Merchandise
4/8/2021,4/8/2021,TARGET.COM * 800-591-3869 MN,29.28,Merchandise
4/10/2021,4/12/2021,ALDI 60169 PHILADELPHIA PA,41.86,Supermarkets
4/11/2021,4/12/2021,LEVELUPSAXBYS66551367 855-538-3542 MA,5.15,Restaurants
4/12/2021,4/12/2021,INTERNET PAYMENT - THANK YOU,-374.54,Payments and Credits
4/13/2021,4/13/2021,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,9.53,Services
4/13/2021,4/13/2021,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,9.53,Services
4/17/2021,4/17/2021,CHINA STAR 888 PHLADELPHIA PA,4.27,Restaurants
4/17/2021,4/17/2021,FRESHGROCERPROGPLAZAS1 PHILADELPHIA PA001583806190,23.37,Supermarkets
4/20/2021,4/20/2021,GAP ONLINE,53.98,Merchandise
4/24/2021,4/21/2021,ALDI 60169 PHILADELPHIA PA,49.26,Supermarkets
