Date,Description,Amount,Category,Unnamed: 7,Account,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
03/2021,SPOTIFY,-5.29,Subscriptions,,Discover,,,,,,
03/2021,Stipend,943.0,Stipend,,Reserve,,,,,,
03/2021,Stipend,1400.0,Stipend,,Reserve,,,,,,
03/2021,Stipend,943.0,Stipend,,Reserve,,,,,,
03/2021,Rent,-575.0,Rent,,Reserve,,,,,,
03/2021,INSTITUTE OF INDUSTRIAL 770-449-0461 GA,-44.0,Subscriptions,,Discover,,,,,,
03/2021,POS PURCHASE          POS001       0339590 FRESHGROCERPRO           PHILADELPHIA PA,-8.64,Groceries,,Spend,,,,,,
03/2021,ACH CREDIT      XXXXX0531 TEMPLE UNIVERSIT PAYROLL,406.24,Paychecks,,Spend,,,,,,
03/2021,INTEREST PAYMENT ,0.75,INTEREST PAYMENT ,,Growth,,,,,,
03/2021,ACH CREDIT      XXXXX0531 TEMPLE UNIVERSIT PAYROLL,399.22,Paychecks,,Spend,,,,,,
03/2021,ACH WEBRECUR   XXXXX0001 VERIZON          PAYMENTREC,-79.99,Verizon,,Spend,,,,,,
03/2021,SPOTIFY,-5.29,Subscriptions,,Discover,,,,,,
03/2021,TRADER JOE'S #618 QPS PHILADELPHIA PA,-5.78,Groceries,,Discover,,,,,,
04/2021,Electric,-25.45,Electric,,Venmo,,,,,,
04/2021,Merchandise,-2.0,Merchandise,,Venmo,,,,,,
04/2021,Restaurants,-5.5,Restaurants,,Venmo,,,,,,
04/2021,Verizon,20.0,Verizon,,Venmo,Venmo balance,,,,,
04/2021,Verizon,20.0,Verizon,,Venmo,Venmo balance,,,,,
04/2021,Merchandise,20.0,Merchandise,,Venmo,Venmo balance,,,,,
04/2021,Insurance,-4.18,Insurance,,Venmo,,,,,,
04/2021,Restaurants,2.5,Restaurants,,Venmo,,,,,,
04/2021,Merchandise,4.57,Merchandise,,Venmo,,,,,,
04/2021,ACH WEBRECUR   XXXXX0001 VERIZON          PAYMENTREC,-79.99,Verizon,,Spend,,,,,,
04/2021,Merchandise,4.57,Merchandise,,Venmo,,,,,,
04/2021,ACH CREDIT      XXXXX0531 TEMPLE UNIVERSIT PAYROLL,389.42,Paychecks,,Spend,,,,,,
04/2021,ACH CREDIT      XXXXX0908 IRS  TREAS 310     TAX REF,96.0,Taxes,,Spend,,,,,,
04/2021,ACH CREDIT      XXXXX0531 TEMPLE UNIVERSIT PAYROLL,375.51,Paychecks,,Spend,,,,,,
04/2021,MICHAELS STORES 9902 YORK PA9902000124732104031253,-5.46,Merchandise,,Discover,,,,,,
04/2021,TARGET YORK PA,-24.76,Groceries,,Discover,,,,,,
04/2021,LIDL #1081 YORK PA1081830448170942113031,-29.94,Groceries,,Discover,,,,,,
04/2021,AMAZON,-19.07,Merchandise,,Discover,,,,,,
04/2021,Merchandise,4.57,Merchandise,,Venmo,,,,,,
04/2021,TARGET.COM,-8.55,Merchandise,,Discover,,,,,,
04/2021,ALDI 60169 PHILADELPHIA PA,-41.86,Groceries,,Discover,,,,,,
04/2021,LEVELUPSAXBYS66551367 855-538-3542 MA,-5.15,Restaurants,,Discover,,,,,,
04/2021,NETFLIX,-9.53,Subscriptions,,Discover,,,,,,
04/2021,CHINA STAR 888 PHLADELPHIA PA,-4.27,Restaurants,,Discover,,,,,,
04/2021,FRESHGROCERPROGPLAZAS1 PHILADELPHIA PA001583806190,-23.37,Groceries,,Discover,,,,,,
04/2021,GAP ONLINE,-53.98,Merchandise,,Discover,,,,,,
04/2021,ALDI 60169 PHILADELPHIA PA,-49.26,Groceries,,Discover,,,,,,
04/2021,TARGET.COM,-29.28,Merchandise,,Discover,,,,,,
04/2021,NETFLIX,-9.53,Subscriptions,,Discover,,,,,,
